Key,Type 类型,Context 所属场景/条目,Chinese (Simplified)(zh-CN),English (United States)(en-US)
Character_071,人物 Character,孩子C,出现：希望孤儿院的职员结构图,Appears in: Hope Orphanage Staff Organization Chart
Character_072,人物 Character,孩子C,希望孤儿院7位职员的照片,Photos of the seven staff members at Hope Orphanage
Character_073,人物 Character,孩子C,*刘志明的脸跟”BB-04“的负责人一样,"*Liu Zhiming's face should match the ""BB-04"" project lead"
Character_074,人物 Character,孩子C,村里的地图,Village Map
Character_075,人物 Character,孩子C,出现：侦探资格测试练习题《失踪的猫》,"Appears in: Detective Qualification Practice Test — ""The Missing Cat"""
Photo_005,照片/图片 Photo,孩子C,![](flowam:img-1787584472766-7q5cir),![](flowam:img-1787584472766-7q5cir)
Character_076,人物 Character,孩子C,"""BB-04""项目负责人照片","Photo of the ""BB-04"" Project Lead"
Character_077,人物 Character,孩子C,出现：BB-04，打破医学界难题，根治绝症！,Appears in: BB-04 Breaks a Medical Barrier—A Cure for Terminal Illnesses!
Character_078,人物 Character,孩子C,负责人在演讲时被拍到的照片。,A photo of the project lead taken while he is giving a speech.
Character_079,人物 Character,孩子C,*跟刘志明是同一个人，脸要一样,"*He is the same person as Liu Zhiming, so the face should be identical."
Character_080,人物 Character,孩子C,拍摄孤儿院职员室的照片,Photo of the Hope Orphanage Staff Room
Character_081,人物 Character,孩子C,出现：某个社交媒体,Appears in: A Social Media Platform
Character_082,人物 Character,孩子C,拍到李秀芳桌位的照片，可以那个密码的小纸条。,"A photo of Li Xiufang's desk, with the small password note visible."
Character_083,人物 Character,孩子C,随机的猫照,Random Cat Photo
Character_084,人物 Character,孩子C,出现：某人的个人主页,Appears in: Someone's Profile Page
Character_085,人物 Character,孩子C,没什么太大情报，就猫猫啊哈。,Nothing particularly important—just cats lol.
Name_001,专有名词 Proper Noun,浏览器,Internet Discovery,Internet Discovery
Name_002,专有名词 Proper Noun,教学程序,资格练习题,Test Tutorial
Name_003,专有名词 Proper Noun,新闻网站,每日新闻,Everyday News
Name_004,专有名词 Proper Noun,社交媒体,推书,Bookers
Name_005,专有名词 Proper Noun,希望孤儿院,希望孤儿院,Hope Orphanage
Name_006,专有名词 Proper Noun,好心福利院,好心福利院,Kindness Welfare Home
Name_007,专有名词 Proper Noun,蓝蝶制药公司,蓝蝶制药公司,Blue Morpho Pharmaceutical
SM_001,SM_HP Text,社交媒体,首页,Home
SM_002,SM_HP Text,社交媒体,探索,Explore
SM_003,SM_HP Text,社交媒体,通知,Notification
SM_004,SM_HP Text,社交媒体,聊天,Chat
SM_005,SM_HP Text,社交媒体,个人资料,Profile
SM_006,SM_HP Text,社交媒体,热门,Trending
SM_007,SM_HP Text,社交媒体,#希望孤儿院,#Hope Orphanage
SM_008,SM_HP Text,社交媒体,#火灾,#Fire
SM_009,SM_HP Text,社交媒体,#跑路,#Ran
SM_010,SM_HP Text,社交媒体,#失踪,#Missing
Search_001,Search,Search Result,新闻：,News: 
Search_002,Search,Search Result,探索：{0},Search: {0}
Search_003,Search,Search Result,关键字：{0},Keyword: {0}
Search_004,Search,Search Result,没有更多结果了…,No more search result…
Search_005,Search,Search Result,新闻：,News: 
Search_006,Search,Search Result,新闻：,News: 
Summary_001,重要线索,标题,委托内容,Case Request
Summary_002,重要线索,内容,"- 委托人张女士，猫「小橘」今天下午失踪
- 五名居民各自表示曾目击，但情报不完全一致
- 任务：判断哪些证词可信","- Client: Ms. Zhang. Her cat, ""Little Orange,"" went missing this afternoon.
- Five residents each claim to have seen it, but their accounts do not fully match.
- Task: Determine which witness statements are reliable."
Summary_003,重要线索,标题,关于小橘,About Little Orange
Summary_004,重要线索,内容,"- 张女士养的橘猫，怕狗
- 左耳尖有明显缺口
- 张女士本人下午3点在家还见过它","- An orange cat owned by Ms. Zhang; it is afraid of dogs.
- There is a noticeable notch at the tip of its left ear.
- Ms. Zhang herself last saw it at home at 3:00 p.m."
Summary_005,重要线索,标题,证人A：王先生,Witness A: Mr. Wang
Summary_006,重要线索,内容,"- 便利店员工
- 下午3:15时看到一只橘猫经过店门口
- 调出监控截图，猫左耳有缺口，往公园方向跑","- Convenience store employee.
- Saw an orange cat pass by the store at 3:15 p.m.
- Security footage shows a notch on the cat's left ear, and it was running toward the park."
Summary_007,重要线索,标题,证人B：李女士,Witness B: Ms. Li
Summary_008,重要线索,内容,- 下午4:00出门时看到小橘被狗追，往陈先生家方向跑,"- At 4:00 p.m., she saw Little Orange being chased by a dog toward Mr. Chen's house as she was heading out."
Summary_009,重要线索,标题,证人C：赵先生,Witness C: Mr. Zhao
Summary_010,重要线索,内容,"- 下午3:30带女儿经过公园看到小橘
- 猫左耳有缺口","- Saw Little Orange while passing through the park with his daughter at 3:30 p.m.
- The cat had a notch on its left ear."
Summary_011,重要线索,标题,证人D：陈先生,Witness D: Mr. Chen
Summary_012,重要线索,内容,- 下午一直在家，听到院子附近狗叫声，随后听到猫叫声,"- Was home all afternoon. He heard a dog barking near the yard, followed by the sound of a cat meowing."
Summary_013,重要线索,标题,证人E：周先生,Witness E: Mr. Zhou
Summary_014,重要线索,内容,- 下午3:55在村里公用仓库附近看到小橘在躺着晒太阳,"- At 3:55 p.m., he saw Little Orange lying in the sun near the village's communal storage shed."
Summary_015,重要线索,标题,村里的地图,Village Map
Summary_016,重要线索,内容,- 村里的地图，中间有条宽敞的河流,"- A map of the village, with a wide river running through the middle."
Summary_017,重要线索,标题,新闻：希望孤儿院火灾，院长下落不明！,News: Hope Orphanage Fire; Director Missing!
Summary_018,重要线索,内容,"- 希望孤儿院于凌晨发生火灾
- 院长失踪
- 几位职员说他们睡前还看过院长 ","- A fire broke out at Hope Orphanage in the early hours of the morning.
- The director is missing.
- Several staff members said they had seen the director before going to bed."
Summary_019,重要线索,标题,新闻：希望孤儿院前身尽是？！这场大火恐怕早已注定……,News: Hope Orphanage Was Once WHAT?! Was This Fire Destined to Happen...?
Summary_020,重要线索,内容,"- 希望孤儿院所在地在以前是一处墓园
- 风水师表示火灾与院长的失踪都跟当地阴气有关","- The site where Hope Orphanage now stands used to be a cemetery.
- Feng shui masters claim that both the fire and the director's disappearance are connected to the area's negative energy."
Summary_021,重要线索,标题,新闻：希望孤儿院火灾与院长失踪。事发前似乎有可疑迹象？,News: Hope Orphanage Fire and Director's Disappearance—Were There Suspicious Signs Before the Incident?
Summary_022,重要线索,内容,"- 今日凌晨希望孤儿院发生火灾但没有伤亡
- 火灾原因不太可能是意外
- 院长最近都早出晚归
- 有人目击一辆黑色轿车停在孤儿院附近","- A fire broke out at Hope Orphanage early this morning, but there were no casualties.
- The fire was unlikely to have been an accident.
- The director had recently been leaving early and returning late.
- Someone saw a black sedan parked near the orphanage."
Summary_023,重要线索,标题,新闻：BB-04，打破医学界难题，根治绝症！,News: BB-04 Breaks a Medical Barrier—A Cure for Terminal Illnesses!
Summary_024,重要线索,内容,- 仔细对比后就会发现在台上演讲的负责人就是希望孤儿院的其中一位职员刘志明,"- A careful comparison reveals that the person speaking on stage is Liu Zhiming, one of the staff members at Hope Orphanage."
Summary_025,重要线索,标题,帖子：消防局的提醒,Post: Fire Department Reminder
Summary_026,重要线索,内容,- 一些关于遇到火灾时的措施,- Some safety measures to follow in the event of a fire.
Summary_027,重要线索,标题,帖子：喵喵：3 1,Post: Meow Meow: 3 1
Summary_028,重要线索,内容,- 一位爱猫人士的帖子,- A post by a cat lover.
Summary_029,重要线索,标题,帖子：喵喵：3 2,Post: Meow Meow: 3 2
Summary_030,重要线索,内容,- 一位爱猫人士的帖子,- A post by a cat lover.
Summary_031,重要线索,标题,帖子：怀疑院长的帖子,Post: Suspicions About the Director
Summary_032,重要线索,内容,- 有人认为院长消失的时机很可疑,- Someone thinks the timing of the director's disappearance is suspicious.
Summary_033,重要线索,标题,帖子：庆幸意外时有人及时发现的帖子,Post: Thankful Someone Noticed the Fire in Time
Summary_034,重要线索,内容,"- 有人庆幸在火灾发生时刚好有人起床
- 有人怀疑火灾可能不是意外","- Someone is thankful that a person happened to wake up when the fire broke out.
- Someone suspects the fire may not have been an accident."
Summary_035,重要线索,标题,帖子：一栋建筑物的照片,Post: Photo of a Building
Summary_036,重要线索,内容,- 可以看到招牌上写着「好心福利院」,"- The sign in the photo reads ""Kindness Welfare Home."""
Summary_037,重要线索,标题,帖子：孩子们的后续情况,Post: What Will Happen to the Children?
Summary_038,重要线索,内容,"- 关系孤儿们后续的帖子
- 评论区似乎可以找到一点相关情报","- A post expressing concern about what will happen to the orphans.
- The comments section may contain some relevant information."
Summary_039,重要线索,标题,帖子：在意外后到孤儿院拍的照片,Post: Photo Taken at the Orphanage After the Incident
Summary_040,重要线索,内容,"- 有人透过窗口拍了孤儿院职员室
- 职员室的一台电脑荧幕边贴着一张笔记
- 笔记写着“密码是生日” ","- Someone took a photo of the orphanage staff room through a window.
- A note is stuck to the edge of one computer monitor.
- The note says, ""The password is my birthday."""
Summary_041,重要线索,标题,帖子：猜测火灾发生的原因,Post: Speculation About the Cause of the Fire
Summary_042,重要线索,内容,- 有人认为院长不像处理孤儿院停业的后续而直接放火,- Someone believes the director did not want to deal with the aftermath of the orphanage's closure and simply set the building on fire.
Summary_043,重要线索,标题,帖子：关于一辆黑车的情报,Post: Information About a Black Car
Summary_044,重要线索,内容,- 有人在昨天深夜看到一辆全黑的车,- Someone saw an all-black car late last night.
Summary_045,重要线索,标题,公告：关于暂停受理儿童领养申请的公告,Announcement: Temporary Suspension of Child Adoption Applications
Summary_046,重要线索,内容,"- 一篇关于希望孤儿院暂停受理新的儿童领养申请的公告
- 给的理由是完善制度与检视流程","- An announcement stating that Hope Orphanage will temporarily suspend new child adoption applications.
- The reason given is to improve its procedures and review its processes."
Summary_047,重要线索,标题,活动：希望孤儿院小型运动会,Event: Hope Orphanage Mini Sports Day
Summary_048,重要线索,内容,- 原定于今天早上举办的小型运动会,- A small sports day originally scheduled to be held this morning.
Summary_049,重要线索,标题,公告：关于希望孤儿院持续营运说明,Announcement: Regarding the Continued Operation of Hope Orphanage
Summary_050,重要线索,内容,- 在停运公告不到一个月，希望孤儿院宣布持续运营,"- Less than a month after announcing its closure, Hope Orphanage announced that it would remain in operation."
Summary_051,重要线索,标题,公告：关于希望孤儿院停运说明,Announcement: Regarding the Closure of Hope Orphanage
Summary_052,重要线索,内容,- 希望孤儿院宣布因缺乏资金而将停运,- Hope Orphanage announced that it would cease operations due to a lack of funding.
ClueBoard_001,线索板,线索板,记录的线索,Clue Recorded
ClueBoard_002,线索板,线索板,提交的线索,Clue Submitted
ClueBoard_003,线索板,线索板,提交,Submit
ClueBoard_004,线索板,线索板,你的分数是：,Your score is:
ClueBoard_005,线索板,线索板,关闭,Close
